ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH,YEAR,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CONTACTFIRSTNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,DEALSIZE
fdc0d01e-b4ba-592a-ae88-36173c86adc3,21,34.91,12,733.11,2/3/2018,Shipped,1,2,2018,Motorcycles,95,S10_1678,La Rochelle Gifts,Janine,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Small
8187a24d-5dad-58c9-ae38-7a7daa7b2730,42,76.36,4,3207.12,3/3/2018,Shipped,1,3,2018,Motorcycles,95,S10_1678,FunGiftIdeas.com,Violeta,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Medium
2a9bd996-6d53-541c-aa3d-16d8787eb534,24,100,7,2434.56,4/8/2018,Shipped,2,4,2018,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",Elizabeth,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Small
5ce648b3-3bc1-52d7-9817-723529c8d923,66,100,2,7516.08,5/13/2018,Disputed,2,5,2018,Motorcycles,95,S10_1678,Euro Shopping Channel,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Large
20f3030b-20c6-5f02-a5fa-a7c0b2355e84,41,100,2,4514.92,1/20/2018,Shipped,1,1,2018,Classic Cars,214,S10_1949,Collectables For Less Inc.,Allen,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Medium
5d43f29d-5f11-5bd5-8a7e-77dcdf336b1a,36,100,3,8254.8,2/17/2018,Shipped,1,2,2018,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Large
5390b0b1-b2f0-5c33-b001-0876855e609a,24,100,4,2416.56,3/9/2018,Shipped,1,3,2018,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Small
837c6532-6b80-5d73-a783-1d93cc36e554,23,100,9,4140.23,5/1/2018,Shipped,2,5,2018,Classic Cars,214,S10_1949,Quebec Home Shopping Network,Jean,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Medium
dc508488-ed96-503c-8973-94c0d2441b26,50,100,6,12001,5/31/2018,In Process,2,5,2018,Classic Cars,214,S10_1949,Euro Shopping Channel,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Large
7301a2a8-343f-5ec0-bb6d-d8b1e7df00e8,39,100,5,5288.01,2/2/2018,Shipped,1,2,2018,Motorcycles,118,S10_2016,"Australian Gift Network, Co",Tony,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Medium
2809f768-e3a6-5e39-bc25-d0e9286cc2e0,50,44.51,5,2225.5,3/3/2018,Shipped,1,3,2018,Motorcycles,118,S10_2016,FunGiftIdeas.com,Violeta,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Small
42929548-7d51-5ada-8664-ea9fc6aac2c0,45,100,1,5833.8,4/7/2018,Shipped,2,4,2018,Motorcycles,118,S10_2016,Auto Canal Petit,Dominique,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Medium
