ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH,YEAR,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CONTACTFIRSTNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,DEALSIZE
a4911559-c2b6-588d-8422-15bee1a19772,41,100,14,4708.44,1/15/2017,Shipped,1,1,2017,Motorcycles,95,S10_1678,Auto Canal Petit,Dominique,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Medium
f904955e-1341-509d-acc7-1bf081fc2bfa,37,100,1,3965.66,2/20/2017,Shipped,1,2,2017,Motorcycles,95,S10_1678,"Australian Collectors, Co.",Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Medium
d5f16251-f24b-59cc-ba20-ffabff64b28b,23,100,7,2333.12,4/5/2017,Shipped,2,4,2017,Motorcycles,95,S10_1678,Vitachrome Inc.,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Small
8819a6e3-4ea4-5e93-b776-b2b73be82f86,28,100,2,3188.64,5/18/2017,Shipped,2,5,2017,Motorcycles,95,S10_1678,Tekni Collectables Inc.,William,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,Medium
a3711fd4-1cd9-5e95-baa8-6135f4835fa3,34,100,2,3676.76,6/28/2017,Shipped,2,6,2017,Motorcycles,95,S10_1678,Gift Depot Inc.,Julie,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Medium
37c2e630-e143-5178-92ee-d560893c47a8,45,92.83,1,4177.35,7/23/2017,Shipped,3,7,2017,Motorcycles,95,S10_1678,La Rochelle Gifts,Janine,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Medium
aad0c708-b39c-545d-ba3d-fa05801bad86,36,100,6,4099.68,8/27/2017,Shipped,3,8,2017,Motorcycles,95,S10_1678,Marta's Replicas Co.,Marta,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Medium
61297c39-763f-5a5e-b89f-5a463bee0858,23,100,9,2597.39,9/30/2017,Shipped,3,9,2017,Motorcycles,95,S10_1678,"Toys of Finland, Co.",Matti,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Small
172b1e22-d448-5811-88f1-2d82c4fcc95d,41,100,5,4394.38,10/15/2017,Shipped,4,10,2017,Motorcycles,95,S10_1678,Baane Mini Imports,Jonas,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Medium
2f5305f5-0cc4-52d9-9af4-2626e4114e4b,46,94.74,1,4358.04,11/2/2017,Shipped,4,11,2017,Motorcycles,95,S10_1678,Diecast Classics Inc.,Kyung,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Medium
